__timestamp,Total Volume
2021-04-23 00:00:00+00:00,
2021-04-24 00:00:00+00:00,
2021-04-25 00:00:00+00:00,
2021-04-26 00:00:00+00:00,
2021-04-27 00:00:00+00:00,
2021-04-28 00:00:00+00:00,
2021-04-29 00:00:00+00:00,
2021-04-30 00:00:00+00:00,137
2021-05-01 00:00:00+00:00,1623590
2021-05-02 00:00:00+00:00,3848085
2021-05-03 00:00:00+00:00,2839029
2021-05-04 00:00:00+00:00,852007
2021-05-05 00:00:00+00:00,572273
2021-05-06 00:00:00+00:00,449040
2021-05-07 00:00:00+00:00,279818
2021-05-08 00:00:00+00:00,233341
2021-05-09 00:00:00+00:00,285449
2021-05-10 00:00:00+00:00,144323
2021-05-11 00:00:00+00:00,54107
2021-05-12 00:00:00+00:00,80273
2021-05-13 00:00:00+00:00,68994
2021-05-14 00:00:00+00:00,85074
2021-05-15 00:00:00+00:00,153215
2021-05-16 00:00:00+00:00,228850
2021-05-17 00:00:00+00:00,91365
2021-05-18 00:00:00+00:00,118720
2021-05-19 00:00:00+00:00,70039
2021-05-20 00:00:00+00:00,116256
2021-05-21 00:00:00+00:00,118411
2021-05-22 00:00:00+00:00,87297
2021-05-23 00:00:00+00:00,74269
2021-05-24 00:00:00+00:00,105108
2021-05-25 00:00:00+00:00,113842
2021-05-26 00:00:00+00:00,89433
2021-05-27 00:00:00+00:00,119653
2021-05-28 00:00:00+00:00,205506
2021-05-29 00:00:00+00:00,203315
2021-05-30 00:00:00+00:00,1292915
2021-05-31 00:00:00+00:00,1306309
2021-06-01 00:00:00+00:00,2009168
2021-06-02 00:00:00+00:00,905736
2021-06-03 00:00:00+00:00,696517
2021-06-04 00:00:00+00:00,389269
2021-06-05 00:00:00+00:00,1106914
2021-06-06 00:00:00+00:00,1449603
2021-06-07 00:00:00+00:00,3004221
2021-06-08 00:00:00+00:00,1572678
2021-06-09 00:00:00+00:00,762011
2021-06-10 00:00:00+00:00,597866
2021-06-11 00:00:00+00:00,576955
2021-06-12 00:00:00+00:00,372061
2021-06-13 00:00:00+00:00,613585
2021-06-14 00:00:00+00:00,547435
2021-06-15 00:00:00+00:00,1597933
2021-06-16 00:00:00+00:00,1189652
2021-06-17 00:00:00+00:00,1602907
2021-06-18 00:00:00+00:00,1965744
2021-06-19 00:00:00+00:00,3640178
2021-06-20 00:00:00+00:00,6094568
2021-06-21 00:00:00+00:00,2845589
2021-06-22 00:00:00+00:00,1026089
2021-06-23 00:00:00+00:00,992760
2021-06-24 00:00:00+00:00,1197093
2021-06-25 00:00:00+00:00,972476
2021-06-26 00:00:00+00:00,796420
2021-06-27 00:00:00+00:00,512154
2021-06-28 00:00:00+00:00,339457
2021-06-29 00:00:00+00:00,526597
2021-06-30 00:00:00+00:00,427334
2021-07-01 00:00:00+00:00,425446
2021-07-02 00:00:00+00:00,169589
2021-07-03 00:00:00+00:00,191095
2021-07-04 00:00:00+00:00,382796
2021-07-05 00:00:00+00:00,349228
2021-07-06 00:00:00+00:00,366115
2021-07-07 00:00:00+00:00,368297
2021-07-08 00:00:00+00:00,362566
2021-07-09 00:00:00+00:00,450441
2021-07-10 00:00:00+00:00,514953
2021-07-11 00:00:00+00:00,1353710
2021-07-12 00:00:00+00:00,1518076
2021-07-13 00:00:00+00:00,1601003
2021-07-14 00:00:00+00:00,1768796
2021-07-15 00:00:00+00:00,3623839
2021-07-16 00:00:00+00:00,4336249
2021-07-17 00:00:00+00:00,4638016
2021-07-18 00:00:00+00:00,1942643
2021-07-19 00:00:00+00:00,933411
2021-07-20 00:00:00+00:00,733143
2021-07-21 00:00:00+00:00,892809
2021-07-22 00:00:00+00:00,561624
2021-07-23 00:00:00+00:00,652597
2021-07-24 00:00:00+00:00,471555
2021-07-25 00:00:00+00:00,733277
2021-07-26 00:00:00+00:00,659044
2021-07-27 00:00:00+00:00,722833
2021-07-28 00:00:00+00:00,522876
2021-07-29 00:00:00+00:00,289155
2021-07-30 00:00:00+00:00,1001066
2021-07-31 00:00:00+00:00,3219063
2021-08-01 00:00:00+00:00,7824294
2021-08-02 00:00:00+00:00,2617738
2021-08-03 00:00:00+00:00,5617415
2021-08-04 00:00:00+00:00,17409647
2021-08-05 00:00:00+00:00,7475902
2021-08-06 00:00:00+00:00,6102830
2021-08-07 00:00:00+00:00,5184354
2021-08-08 00:00:00+00:00,6282957
2021-08-09 00:00:00+00:00,3130080
2021-08-10 00:00:00+00:00,3469455
2021-08-11 00:00:00+00:00,4891681
2021-08-12 00:00:00+00:00,2005256
2021-08-13 00:00:00+00:00,2149203
2021-08-14 00:00:00+00:00,3236457
2021-08-15 00:00:00+00:00,2601622
2021-08-16 00:00:00+00:00,1825949
2021-08-17 00:00:00+00:00,1689809
2021-08-18 00:00:00+00:00,1646548
2021-08-19 00:00:00+00:00,1461043
2021-08-20 00:00:00+00:00,10015724
2021-08-21 00:00:00+00:00,20141789
2021-08-22 00:00:00+00:00,5307023
2021-08-23 00:00:00+00:00,18757157
2021-08-24 00:00:00+00:00,14898176
2021-08-25 00:00:00+00:00,11508619
2021-08-26 00:00:00+00:00,12928096
2021-08-27 00:00:00+00:00,8579824
2021-08-28 00:00:00+00:00,53407587
2021-08-29 00:00:00+00:00,19299919
2021-08-30 00:00:00+00:00,15115212
2021-08-31 00:00:00+00:00,8772632
2021-09-01 00:00:00+00:00,10690980
2021-09-02 00:00:00+00:00,10089876
2021-09-03 00:00:00+00:00,6943162
2021-09-04 00:00:00+00:00,2516015
2021-09-05 00:00:00+00:00,11733067
2021-09-06 00:00:00+00:00,10750093
2021-09-07 00:00:00+00:00,2927326
2021-09-08 00:00:00+00:00,2717718
2021-09-09 00:00:00+00:00,3866189
2021-09-10 00:00:00+00:00,5399291
2021-09-11 00:00:00+00:00,1355682
2021-09-12 00:00:00+00:00,1450432
2021-09-13 00:00:00+00:00,2122223
2021-09-14 00:00:00+00:00,2865807
2021-09-15 00:00:00+00:00,6470824
2021-09-16 00:00:00+00:00,7214516
2021-09-17 00:00:00+00:00,3170720
2021-09-18 00:00:00+00:00,2056156
2021-09-19 00:00:00+00:00,1280034
2021-09-20 00:00:00+00:00,2465500
2021-09-21 00:00:00+00:00,2283420
2021-09-22 00:00:00+00:00,1585800
2021-09-23 00:00:00+00:00,1920855
2021-09-24 00:00:00+00:00,3267934
2021-09-25 00:00:00+00:00,1520449
2021-09-26 00:00:00+00:00,2983046
2021-09-27 00:00:00+00:00,1108863
2021-09-28 00:00:00+00:00,2042122
2021-09-29 00:00:00+00:00,1581942
2021-09-30 00:00:00+00:00,5872542
2021-10-01 00:00:00+00:00,3806068
2021-10-02 00:00:00+00:00,4319840
2021-10-03 00:00:00+00:00,3327712
2021-10-04 00:00:00+00:00,4278914
2021-10-05 00:00:00+00:00,4329808
2021-10-06 00:00:00+00:00,2285806
2021-10-07 00:00:00+00:00,2468129
2021-10-08 00:00:00+00:00,4395685
2021-10-09 00:00:00+00:00,3420116
2021-10-10 00:00:00+00:00,2788182
2021-10-11 00:00:00+00:00,1241842
2021-10-12 00:00:00+00:00,2293979
2021-10-13 00:00:00+00:00,3686466
2021-10-14 00:00:00+00:00,4191183
2021-10-15 00:00:00+00:00,2297606
2021-10-16 00:00:00+00:00,2031411
2021-10-17 00:00:00+00:00,1471151
2021-10-18 00:00:00+00:00,1863960
2021-10-19 00:00:00+00:00,6111187
2021-10-20 00:00:00+00:00,2832694
2021-10-21 00:00:00+00:00,4240453
2021-10-22 00:00:00+00:00,4026176
2021-10-23 00:00:00+00:00,7061224
2021-10-24 00:00:00+00:00,1684740
2021-10-25 00:00:00+00:00,3364569
2021-10-26 00:00:00+00:00,2185816
2021-10-27 00:00:00+00:00,3269421
2021-10-28 00:00:00+00:00,3028016
2021-10-29 00:00:00+00:00,3996507
2021-10-30 00:00:00+00:00,2152746
2021-10-31 00:00:00+00:00,3563066
2021-11-01 00:00:00+00:00,2209514
2021-11-02 00:00:00+00:00,2951773
2021-11-03 00:00:00+00:00,2859093
2021-11-04 00:00:00+00:00,2174799
2021-11-05 00:00:00+00:00,3026032
2021-11-06 00:00:00+00:00,4105282
2021-11-07 00:00:00+00:00,3227157
2021-11-08 00:00:00+00:00,3383442
2021-11-09 00:00:00+00:00,2822566
2021-11-10 00:00:00+00:00,4932155
2021-11-11 00:00:00+00:00,4140048
2021-11-12 00:00:00+00:00,10128164
2021-11-13 00:00:00+00:00,23050002
2021-11-14 00:00:00+00:00,16930385
2021-11-15 00:00:00+00:00,17818924
2021-11-16 00:00:00+00:00,26051537
2021-11-17 00:00:00+00:00,15335480
2021-11-18 00:00:00+00:00,12210944
2021-11-19 00:00:00+00:00,7209683
2021-11-20 00:00:00+00:00,4490104
2021-11-21 00:00:00+00:00,4828499
2021-11-22 00:00:00+00:00,5780334
2021-11-23 00:00:00+00:00,2233561
2021-11-24 00:00:00+00:00,1590607
2021-11-25 00:00:00+00:00,2644443
2021-11-26 00:00:00+00:00,3379163
2021-11-27 00:00:00+00:00,2990806
2021-11-28 00:00:00+00:00,4468069
2021-11-29 00:00:00+00:00,6204951
2021-11-30 00:00:00+00:00,3640492
2021-12-01 00:00:00+00:00,4929359
2021-12-02 00:00:00+00:00,6058097
2021-12-03 00:00:00+00:00,8520720
2021-12-04 00:00:00+00:00,7766118
2021-12-05 00:00:00+00:00,3493771
2021-12-06 00:00:00+00:00,2868766
2021-12-07 00:00:00+00:00,4555046
2021-12-08 00:00:00+00:00,2723721
2021-12-09 00:00:00+00:00,6294668
2021-12-10 00:00:00+00:00,5453784
2021-12-11 00:00:00+00:00,4676252
2021-12-12 00:00:00+00:00,2545481
2021-12-13 00:00:00+00:00,3927639
2021-12-14 00:00:00+00:00,4501330
2021-12-15 00:00:00+00:00,3553421
2021-12-16 00:00:00+00:00,5872610
2021-12-17 00:00:00+00:00,2798954
2021-12-18 00:00:00+00:00,2047927
2021-12-19 00:00:00+00:00,3179304
2021-12-20 00:00:00+00:00,1750343
2021-12-21 00:00:00+00:00,2896377
2021-12-22 00:00:00+00:00,4054100
2021-12-23 00:00:00+00:00,5551111
2021-12-24 00:00:00+00:00,5432444
2021-12-25 00:00:00+00:00,4765377
2021-12-26 00:00:00+00:00,7386893
2021-12-27 00:00:00+00:00,6791504
2021-12-28 00:00:00+00:00,9914206
2021-12-29 00:00:00+00:00,6552520
2021-12-30 00:00:00+00:00,8026391
2021-12-31 00:00:00+00:00,9230769
2022-01-01 00:00:00+00:00,27406517
2022-01-02 00:00:00+00:00,20822638
2022-01-03 00:00:00+00:00,17780333
2022-01-04 00:00:00+00:00,7832246
2022-01-05 00:00:00+00:00,6523223
2022-01-06 00:00:00+00:00,7123949
2022-01-07 00:00:00+00:00,7451120
2022-01-08 00:00:00+00:00,5071795
2022-01-09 00:00:00+00:00,17042851
2022-01-10 00:00:00+00:00,10007368
2022-01-11 00:00:00+00:00,5818228
2022-01-12 00:00:00+00:00,7061564
2022-01-13 00:00:00+00:00,5508846
2022-01-14 00:00:00+00:00,6502156
2022-01-15 00:00:00+00:00,10652541
2022-01-16 00:00:00+00:00,9178537
2022-01-17 00:00:00+00:00,3157503
2022-01-18 00:00:00+00:00,4992393
2022-01-19 00:00:00+00:00,3688113
2022-01-20 00:00:00+00:00,8327163
2022-01-21 00:00:00+00:00,6719536
2022-01-22 00:00:00+00:00,6657228
2022-01-23 00:00:00+00:00,5165113
2022-01-24 00:00:00+00:00,7122845
2022-01-25 00:00:00+00:00,10138641
2022-01-26 00:00:00+00:00,8237784
2022-01-27 00:00:00+00:00,8584018
2022-01-28 00:00:00+00:00,13184890
2022-01-29 00:00:00+00:00,15963466
2022-01-30 00:00:00+00:00,23455830
2022-01-31 00:00:00+00:00,25287097
2022-02-01 00:00:00+00:00,10153678
2022-02-02 00:00:00+00:00,4501600
