token_id,contract_address,seller,buyer,timestamp,token_bundle_count,quantity,marketplace,event,is_sold,is_seller_contract,is_buyer_contract,token_symbol,chain_id,token_status,transaction_hash,sale_price_usd,sale_price_eth,sale_price_matic,s_collection,marketplace_name,method_id,method,concat_tokenid,is_washtrade,collection,accuracy,blockchain
14793,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xc0bdae648dffe763951a6dba32499ee47a475122,0x18799f860f9adb26e076d581603037f79342e0c0,2021-08-29 19:17:39 UTC,6,1,0xb85abd983f9a3696684e6b0d82746628ca099676,transfer,false,false,false,,1,ERC721,0x9e1ee52c297ecc190b2f737e439bf510684ec6af1bb7870f83635461027772ed,,,,MutantApeYachtClub,,,Not Washtrade,147930x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
7023,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xa8758d15c44f9b97d3ff6c62cc72b567c432f9b1,0x4ddd7ec653fc4814ff11996d7d68b6625e4dfdba,2021-08-29 03:03:38 UTC,5,1,0x64e9d21b1b5b39fb8b2945062ae063ffc45dc4f9,transfer,false,false,false,,1,ERC721,0x46a036595997beaf4d7ab250a32f5a1c0b043fd5279608d0c2285a39a892cd9c,,,,MutantApeYachtClub,,,Not Washtrade,70230x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
1087,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xa43a5b75dcedf465be4989cce3a854dde3d3a403,0x1f9149a6ed325a321d4f9b6d57cdde6101005072,2021-08-29 07:16:41 UTC,9,1,0x09037dc8672e3741e54b30e9aeeb53c2d47c9bfb,transfer,false,false,false,,1,ERC721,0x0686d3fa4c12b47faa51a41e167404ba7de493c9ff57da1be39cfdef4161fdf9,,,,MutantApeYachtClub,,,Not Washtrade,10870x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
6059,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x436317eef036eb72e74812dcea5c31a945724f77,0x28c7400877f6d012b79a6b85297204a73d388335,2021-08-29 09:42:32 UTC,2,1,0x5fe007ec5ef89fa14bef447c34c44beae2d6bc9a,transfer,false,false,false,,1,ERC721,0x3db177bfcf753c0d515209e9e1c0a32a577c3886f4b199cb6c4bd5a6cef0c9a6,,,,MutantApeYachtClub,,,Not Washtrade,60590x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
3310,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x59d6d69730a147c64a6456d2cef8486c5734935a,0x355c911052a33c347234014c43f0785db4ed6af0,2021-08-31 20:42:45 UTC,4,1,0xa8b6003ae8e6b04ba7f94eb8cbaceb7cb5405d75,transfer,false,false,false,,1,ERC721,0x65449d990cd05200eecda7c1dcb0d9ce5d2f96ff46d923d6a9171eb6fca0663d,,,,MutantApeYachtClub,,,Not Washtrade,33100x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
5816,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x292d76ef68931cda7c2fb2b580df263dca3d9b9b,0x68a7ac13477aad590982293feeeb786a00276cf2,2021-08-30 13:14:05 UTC,12,1,0xb1a25a27c6efd1d47fad45dd35e75a95bc6b31ce,transfer,false,false,false,,1,ERC721,0x17831b1a63107711b3ddb42202701e750b738261cab723a26b689461c1261ba5,,,,MutantApeYachtClub,,,Not Washtrade,58160x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
2308,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x97a99da15fc89d96b3fbe673ffd8f69f6ce7c9b1,0x905d13367f3bb940072a133c81563f1b1a6779ad,2021-08-29 23:52:35 UTC,7,1,0x80707178d5d313ef2ad46184aacea84024a33668,transfer,false,false,false,,1,ERC721,0x53cd3555b9f3059e0faa3a1b853312cf3be399d806c89722c4d6c455707e8d22,,,,MutantApeYachtClub,,,Not Washtrade,23080x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
3415,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x365b94ab73ab228544a66e46b90be4deb946a6de,0x72b050fa3f27845cddebd5b75c3ea0af1e5adece,2021-08-29 08:21:35 UTC,12,1,0xb2d4558ecbc39289afedebb1dcc0b24cd772e94f,transfer,false,false,false,,1,ERC721,0x476157dd643c1dc33547c75ce7b1442dc4da90ef5d0acecbee826bc3d4bf025f,,,,MutantApeYachtClub,,,Not Washtrade,34150x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
2029,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x585071b869f3a82660f5502a55eabae41657ae71,0x61ff15db4ff75b180cdc3351f71fcc288606366f,2021-08-30 06:31:29 UTC,2,1,0xc679dbeec2a0789fa2104cb4e16643bc86a9d28d,transfer,false,false,false,,1,ERC721,0x4c73895f1a0f0d610b24f7805213c8fe6a29892768aa9010bf49ea4ade7ed617,,,,MutantApeYachtClub,,,Not Washtrade,20290x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
22945,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xca84668b4e44b66a548c4554117899c16022f337,0xea2475b40ef433502f0c4f789b5dc596c8eaa8f2,2021-08-31 02:35:53 UTC,4,1,0x5a507da4aa3e348a9433e140181f0734540e1f7e,transfer,false,false,false,,1,ERC721,0x608e274625c5e4bce2f8c3e0af069ef1145b3c927c002e59774e279284347461,,,,MutantApeYachtClub,,,Not Washtrade,229450x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
5533,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xc8ed3c2d1509fcf3a3c97c68de3dba66381d337c,0x42e250824bdf98f3e450784b0c1cdc3ac2f157e2,2021-08-29 15:26:12 UTC,10,1,0xe258b3a5321fec4d67e2944039aa7aad2c4ae0d2,transfer,false,false,false,,1,ERC721,0x4fd34eff736dddd17ae5b189e04d34cd2fd28f2fe158d1868757af5998115de1,,,,MutantApeYachtClub,,,Not Washtrade,55330x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
371,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xf0cc7c2a078e2f5d1784dc327804f183d8c7db0e,0x19048f02973d6b72d9aaf005e57520ff060da477,2021-08-31 12:57:51 UTC,16,1,0x5395c85ab751e916903d8cee084afa3c5b2b11e5,transfer,false,false,false,,1,ERC721,0xe50b5e385c30a767cc59444898ff9490567e7c27ffc36ddbbe3d4dda999a8bf0,,,,MutantApeYachtClub,,,Not Washtrade,3710x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
3721,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x94ef50afac9c04572813f36fb8d676eb400de278,0x5af5d005f956e448dab7f00430e6f6d6ea45209c,2021-08-29 13:31:11 UTC,6,1,0x38576551dcf90f2fe7afee10a0c2044a1a235f17,transfer,false,false,false,,1,ERC721,0xc0ce1c6c5f1f7fd72e4023fcc7764c292ecae622afea77609bfbbbf47ee98453,,,,MutantApeYachtClub,,,Not Washtrade,37210x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
2309,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x97a99da15fc89d96b3fbe673ffd8f69f6ce7c9b1,0x905d13367f3bb940072a133c81563f1b1a6779ad,2021-08-29 23:52:35 UTC,7,1,0x80707178d5d313ef2ad46184aacea84024a33668,transfer,false,false,false,,1,ERC721,0x53cd3555b9f3059e0faa3a1b853312cf3be399d806c89722c4d6c455707e8d22,,,,MutantApeYachtClub,,,Not Washtrade,23090x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
7024,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xa8758d15c44f9b97d3ff6c62cc72b567c432f9b1,0x4ddd7ec653fc4814ff11996d7d68b6625e4dfdba,2021-08-29 03:03:38 UTC,5,1,0x64e9d21b1b5b39fb8b2945062ae063ffc45dc4f9,transfer,false,false,false,,1,ERC721,0x46a036595997beaf4d7ab250a32f5a1c0b043fd5279608d0c2285a39a892cd9c,,,,MutantApeYachtClub,,,Not Washtrade,70240x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
23824,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xdf9116fefeb5178cfa8da86fc71de52b942ea8f1,0x93d9fc87798baceb0b12c2b391cf0a4bcc2ecff9,2021-08-30 02:10:58 UTC,15,1,0xc02778a5d6870c3027186142c0856fc11937b6e3,transfer,false,false,false,,1,ERC721,0x6c9316a5e302bdc8cb47e87868114cbad752beb15a17e990c088efd035dbbf55,,,,MutantApeYachtClub,,,Not Washtrade,238240x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
14642,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0x294a137ee7d3de3d4dc8bbe229fd06c2997636ee,0x2638f91804b32190622ef82c6a265d8e9dae57a6,2021-08-30 18:30:39 UTC,3,1,0xa0a64abfdd9edc6c185ffd6c2cb54e0e49c231d6,transfer,false,false,false,,1,ERC721,0xbcaa59cfbd737ada98462fd2230de8fd0a6583985d677f0e9a0ee959bff89ec3,,,,MutantApeYachtClub,,,Not Washtrade,146420x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
3448,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xc1d1d384fd72c72d513c75c164f82f3c7512731c,0x383a82e5785de91e89c065c740c23420e03290eb,2021-08-29 18:58:20 UTC,7,1,0xe5fa3074f6b5021bace23be26411f5ad1bf62380,transfer,false,false,false,,1,ERC721,0xe39760753d8938b8f046a70e7ae14b19e2b0bf97f431869934b08928a06a1afa,,,,MutantApeYachtClub,,,Not Washtrade,34480x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
4107,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xaa10bfc121f203f06a1cfe3cfbe022a6020e1b7e,0xe6d029fd16f6fb0e7eae3553fad5de209bc03d6c,2021-08-31 16:58:19 UTC,7,1,0x84c9f10d1a62c663fd763362e53a724ebd5c409b,transfer,false,false,false,,1,ERC721,0xc39edf843694eaf2bda8db6bf6ec5ef4cd2ae83e680fd3baf165832ba3e51dff,,,,MutantApeYachtClub,,,Not Washtrade,41070x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
23401,0x60e4d786628fea6478f785a6d7e704777c86a7c6,0xb4aa5aedf4dcbe3e0755a19575e5c69164d43e70,0xf873bebdd61ab385d6b24c135baf36c729ce8824,2021-08-29 16:49:39 UTC,14,1,0xf49cb6944ccff9f4d0f0d7a8797597485db756d6,transfer,false,false,false,,1,ERC721,0x379e8728dcd94a15e63fd05ee4318c7ec8de34a408aecb7399b4df8291098242,,,,MutantApeYachtClub,,,Not Washtrade,234010x60e4d786628fea6478f785a6d7e704777c86a7c6,Not Washtrade,MutantApeYachtClub,Not Washtrade,Ethereum
